content,sentiment
5 HP Dual Kamera Murah Terbaik di Awal 2019! https://t.co/Brfzal18KR https://t.co/SDK1J9Yobi,
"Besok debat capres resmi pertama. Kalo mau menentukan pilihan, ya mulai besok malam. Tonton, gue heran orang yang milih capres sebelum debat itu berdasarkan apa? Oh kebencian. Lupa saya.",
@Adiotong7 itu badanya dibersihin pake air anget gpp ya kak? biar bersih gt. dia suka makan sembarangan trs diluar ada kucing kampung yg penyakitan mungkin dari situ,
"@KFCINDONESIA Tahun baru kemarin kan rame di salah satu outlet di Jakarta, pas lagi beresin, di lihatin ama anak2 alay masih kecil2, sekilas denger ""Dih gak pernah makan di KFC keknya, di kira di rumah, di bersihin sendiri mejanya"", klo ada pestisida gw semprot nih anak2. Mereka aja berantakan",
"ㅤ  Sampai tiba saatnya masuk SMA. Sebenarnya malas buat sekolah di SMA itu. Karena bukan pilihan gue alias sekolah lemparan terakhir.\n\nTapi bunda bilang ""Sekolah di mana aja, Van. Sama aja kok.""",
"Kata mama, asal mau godain aja dia pasti ketawa. Ini bayik murah kali senyumnya ☺️ https://t.co/vClL4cK0BD",
"@monavidiaa ga sih kak biasanya aku ngupi di warkop, murah meriah duaribuan saja",
"Meretas situs &amp; web udah pernah, Kalo keamanan Mobil kek gimana yak😂",
#10YearsChallenge oleh @wis_wiz \nayo kita perang salib nanti malem https://t.co/NvQsg44Mqf,
Parah sih thank God udah nyiptain pantai!!!! 😍,
DOI KALAH R1 GUA SUJUD,
"Jumlah pengguna aktif LinkedIn Indonesia emang besar sih, tapi apa iya sampe ""seaktif"" itu, yang emang rajin bacain timeline dan ngasih engagement gitu?",
"Saksikan penampilan @SondoroMusic  hari ini  di Piazza Gandaria City dalam acara ”Melodi Untuk Banten &amp; Lampung” \nMari ramaikan, dana dari konser amal ini akan didonasikan untuk korban tsunami Lampung &amp; Banten melalui Dompet Dhuafa.",
Pasti pendukungnya prabowo,
"Usai Pidato Kebangsaan, Elektabilitas Prabowo Makin Melejit https://t.co/CXDcYdQ3KK https://t.co/s5I4jz8ucH",
Kaukus Korban Hak Asasi Manusia dan Kriminalisasi oleh Rezim Jokowi https://t.co/K6G3gLILw8 https://t.co/2fhUMzT8Gs,
Jangan percaya hoaks Pak @prabowo,
"Hati bagai rembulan, banyak wahana cinta semai benih &amp; tumbuh, tapi tak lama ..",
@kaskus Ahelah goblok udah ga terkenal narkoba lagi.,
@jellykeanes KAK AKU GAK PERNAH SEKESEL INI LOH KENAPA SIH SM KATANYA MEGA PROJECT DEMI MERAIH PASAR CINA,
HARUSNYA KOREONYA BEDA AWAS KALAU SAMA,
Cuma di Amed bisa pagi2 tersesat di gunung terus sorenya bisa snorkeling di pantai ❤️ https://t.co/t8bejbM5dz,
@sangpelayanRI @eae18 @prabowo Tanpa teks🤣🤣🤣,
@askmenfess biasanya abis jual organ malah sakit dan akhirnya uangnya buat biaya berobat dan bisa lebih mahal lagi. coba dipikirin lagi nder..,
@rheina11 Podoo.. \n\nTp enak sego padang tetep 😂,
@yusuf_dumdum ((((butuhe nyangkem thok Prabowo kui))))\n\nMantap pak petani :)),
((((butuhe nyangkem thok Prabowo kui))))\n\nMantap pak petani :)),
"Daging merah tidak buruk untuk Anda. Sekarang daging biru-hijau, itu buruk untuk Anda! (Tommy Smothers)",
@aidilicious Gua gatau itu warga jagakarsa yg mana. Tapi gua sbg warga jagakarsa merasa malu 😭😭,
Pak @prabowo jangan suka bikin hoaks ya...,
@m0omininjun give away kemiskinan q mau ga?,
"Saksikan penampilan @SondoroMusic  hari ini  di Piazza Gandaria City dalam acara ”Melodi Untuk Banten &amp; Lampung” \nMari ramaikan, dana dari konser amal ini akan didonasikan untuk korban tsunami Lampung &amp; Banten melalui Dompet Dhuafa. https://t.co/2UH9qTOKZ6",
Anda merasa buruk bukan karena hidup Anda tidak baik. Anda merasa buruk karena Anda pikir hidup Anda tidak baik.,
"@ardilooh Coba en aaa, mengurangi bahan ghibah",
"KORUPSI ALKES: Disebut Siti Terima Rp600 Juta, Amien Rais Serang KPK | Kabar24 - https://t.co/5kQloRDorG https://t.co/TBAlFOHXE5",
Giladah sky castle gua smp langgana viu tai wkwkwkkwkwkwkw,
"Gw mainan Friendster, MySpace, YouTube pas dulu masih awal2 gaje gitu lah, nyari temen di MiRC yg padahal gw gapeduli2 amat urusan pertemanan, sampe akhirnya gw belajar web design sendiri dan kepikiran apa gw jadi hacker aja ya😂😂😂",
"Akhirnya telpon rumah gw dicabut HAHAHAHA😂😂 trus yaudah karena gw cinta banget sama komputer akhirnya gw jadi anak warnet. Dan gw cuma mampu ke warnet Citra, biar bisa main 5 jam dengan harga murah gitulah ceritanya.",
"Buka ig\nEx ngeupload foto #10yearschallenge \nTerus ternyata difoto yg dulu ada tgl pengambilan foto\n\nOh, foto 8 tahun lalu\nEh, tapi pas liat bulannya, ini kan foto waktu kita masih jadian\n\nEum...\nSekarang doi uda jadi caleg aja\n\nAku?\nYa, ya...\nGini gini aja",
Nek pengin murah nggo odong2 bae. https://t.co/pk3ayD1Sk4,
pgn mam buffet tp agak trauma ya trakhir mkn (((berdua))) abis 700 rb itu bisa buat cicilan mtr gw ya anjeeeng,
"@stywnyudha Setahun lebih menjadi pengangguran. Segala usaha dan doa telah dilakukan tapi mengapa sampai detik ini saya masih jadi pengangguran? Saya malu. Malu sekali. Padahal latar pendidikan saya termasuk byk yg mencari, tp mengapa Tuhan belum membuka pintu rezekinya untuk saya?",
pgn mam buffet tp agak trauma ya trakhir mkn abis 700 rb itu bisa buat cicilan mtr gw ya anjeeeng,
@askmenfess Dari google bisa di coba : https://t.co/NfMRE1upM2,
Join jd resellernya GIT GARSKIN yuk! Harga murmer. ;) cek fav AYUGITAS ya katalognya. Cp:\npin:315F4147 wa:08815215211.,
Lalu pisaunya lah yang jadi tersangka.,
Vanessa Angel jadi tersangka setelah segala ribuan meme dan namanya tersebar luas sebagai pelacur.,
@gomsungs oH MO NGAJAK PERANG MEME NIH? https://t.co/TtxkN5uwyv,
"@askmenfess Ga, post an cuma 4 sejak 2017, kalo mau liat sono kalo mau follow ya sono, ga peduli:( gua tinggal folbek aja",
"@JackVardan Berkaca pada pilpres lalu, malah sibuk nyari2 siapa ortunya pak jkw dan nuduh2 pki 😥",
"Classy People, keep in tune 103,4 FM Padang karena ada Talkshow Spesial bersama IMA Chapter Padang ""Car Free Day Jalan Khatib Sulaiman"". \n\nYuk ramaikan Car Free Day-nya ya di sepanjang Jalan Khatib Sulaiman, pada Minggu 20 Januari 2019\n\n#carfreeday #CFD #khatibsulaiman https://t.co/7sdhfSjDwY",
@dandelidoyoung Del aku baru sampe 13 belum lanjutin:(((( ini kalau si ibu artis sinetron udah dibenci sama ibu2 satu indonesia.,
Undang-Undang ini emang halu.\nYa masa dia ngirimin foto naked dirinya sendiri lalu dia juga dipenjara karena dianggap menyebarkan foto asusila?! Kalo gitu coba pikirin berapa banyak pengguna Tinder/omegle/apapun yg bisa masuk penjara.,
"Had some internet problems, But i am live. Come hang out!\nhttps://t.co/HE096xd0hY",
mau bisnis tapi kurang di percaya karena follower dikit? bisa beli dengan harga murah kok | baca di bio saya | #CP : Ada di BIO,
"@WONWOORxG @GEGERxG Enak nasi padang mah, jadi pengen kan.",
@yuliastutiaJK eh iya ngeri. tapi ini bukan di tempatku sih ka. itu daerah yg agak deket dr surabaya.,
Astagaaaaa... lagu mirippp??? Hebat banget niy bpn @prabowo emang.,
Biar apa coba kaya gitu @ktehyunts,
"@SetiaAdy_p @juventini_3rwin Silahkan ... Biarlah kalian tuduh kami abu2 ....\n\nYang pasti kami dg semaksimal obyektif, waras dan nurani yg jujur anggap Ulama yg melakukan Ijtima' dukung #2019PrabowoPresidenRI adalah Ulama Lurus\n\nSilahkan lalian ikut yg menurut kalian Lurus ...\nOke ....",
"@dinajoell wah lebih mudaaaaaa, baru bkin ktp ya pasti???",
1000 follower hanya 25rb #murah banget!! Cara pesan : lihat ini -&gt; https://t.co/JcWDQThwh0 | #CP : Ada di BIO,
Happy Hour Flash Sale starts NOW UNTIL 8PM! Get 25% off to any Firefly's destinations. Don't miss out! Book now at https://t.co/BnulrlEfEF.\nBooking period: 16 - 18 January 2019 (5pm - 8pm).\nTravel Period: 16 - 27 January 2019.\n#FlyFirefly #FireflyAirlines #FlashSale https://t.co/dvnP17NYnF,
"@Telkomsel saya tidak bisa membeli paket surprise deal di MyTelkomsel karena ga ada tombol beli paket, kalaupun bisa selalu gagal karena sistem sibuk, ini harus gimana ya, sudah dari jam 2 dan gabisa bisa https://t.co/tvtL0kif6r",
"Classy People, Aziz Hayat atau yang dikenal dengan Jaz adalah penyanyi asal Brunei Darussalam yang berkarir di Indonesia? Kok bisa ya? \nMeskipun Jaz berasal dari Brunei, namun ia memiliki darah Indonesia yang berasal dari sang ibu. Jaz juga sudah menetap di Indonesia sejak https://t.co/jWGRuTr9WQ",
tetep tidak bisa,
UNTUK APAAAAAAAAAAAAA ADUH DISINI KOK LO MIRIP BAEKHYUN SIH SEDIH GUA,
"@MBBinBlueMoon HAHAHAH baru aku mention. Ok!!! Menarik nih... Forex ratenya lg turun, baru ngeh...",
@alif2000nur @psi_id @jokowi @nahdlatululama @KPU_ID PKI itu bisa ngaji dan wudhu gak sih? seriussss :v,
"Kalo merujuk ke isi artikel ini yg menceritakan tentang kebiasaan umum warga Indonesia yg nggak mau beberes setelah makan di restoran cepat saji, maka :\n\nAku beberes sendiri setelah makan di resto cepat saji manapun.\n\nKesimpulannya : Aku ini bukan... https://t.co/O0YoY4DAEu",
@richkika Pindah pindah iya.. tapi lulusan jakarta sih hahaha wah kok Anda ingat sih onyonyonyo 🤗,
